"","x"
"5752","Laura Rimmer this is you x"
"5753","Melanie Means I love this!"
"5754","Claire Campbell this Is cute"
"5755","Niamh Doherty class <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+263A><U+FE0F>"
"5756","Chris Brock"
"5757","Carol Muldoon, nice jumper"
"5758","Cynthia Smith"
"5759","Nicola Green"
"5760","Amy x"
"5761","Lisa Broderick <ed><U+00A0><U+00BD><ed><U+00B2><U+0093><ed><U+00A0><U+00BD><ed><U+00B2><U+0093><ed><U+00A0><U+00BD><ed><U+00B2><U+0093>"
"5762","Hannah Vance <ed><U+00A0><U+00BD><ed><U+00B1><U+00A3><ed><U+00A0><U+00BD><ed><U+00B1><U+00A0><ed><U+00A0><U+00BD><ed><U+00B1><U+00A1>"
"5763","Naomi Gordon <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5764","Jan Thompson Blench <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5765","Ruthanne McCready <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5766","Annika Wilby"
"5767","Debs Archer"
"5768","Martin Deacon"
"5769","Shelley Stafford"
"5770","Tiffany Clarkson"
"5771","Jean Ryan Molnár"
"5772","Sophie Mackenzie"
"5773","Hayley Biggerstaff"
"5774","<ed><U+00A0><U+00BD><ed><U+00B2><U+009C> Grace Clements"
"5775","Martha Joyce"
"5776","The striped knit would look gorgeous with black jeans and boots.  Would love to win it <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>"
"5777","THIS embroidered floral knit. I am a curvaceous size L in Oasis and like something with detail around the top half to detract from my bottom (and slightly Januaryish middle! The embroidey is beautiful."
"5778","""THIS"" ... the floral embroidered flowers puts me in mind of Spring . It's beautiful :-) as are so many of Oasis Fashion items (Y)."
"5779","This please! I'm always buying Oasis' stripy jumpers as I just love them and can't help myself - the floral knit is so pretty and it'd be lovely to wear something different <ed><U+00A0><U+00BC><ed><U+00BC><U+00BC><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8> Xx"
"5780","Oh I absolutely love both. What beautiful pieces to transition into spring! If I absolutely had to chose I'd go for the floral shouldered no on the left, but I really want the pair<U+2764><U+FE0F>
Thanks for the comp"
"5781","#THIS as it's a perfect Spring piece! As always, please pick me as I always enter this competition, love Oasis and would tell all where and how I acquired such a beautiful staple for my Spring 2017 wardrobe <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> #WINIT"
"5782","Tricky one! THIS is a really lovely wardrobe update for the spring, so I'll go for that - very versatile, and would be great into summer too for cooler evenings.  <U+2764><U+FE0F> it! #WINIT"
"5783","THAT essential striped knit is a classic style that will be perfect for wardrobe as a versatile piece which can be dressed up and down. Nautical all the way! #winit"
"5784","THAT - The Essential striped Knit - With its cool colour block detail and sleek stripe, this stylish ribbed knit is our new favourite sweater. Tuck into denim for a Sunday look you won't want to take off - Thanks for the Giveaway!"
"5785","This..... the embroidered knit is new and feminine. I have a jumper i bought ages ago from Oasis that is very similar to the striped one"
"5786","Florals and stripes are equally my favourite thing so I can't choose and I'd just buy both. What's an Oasis Card for if not irresponsible spending? ;)"
"5787","That! Having just come out of hospital from an operation i could do with some positive news! Good luck everyone xx"
"5788","THAT essential stripe is just that- essential for my wardrobe! Perfect with jeans or I would wear it with a bright red pleated skirt. #WINIT"
"5789","Both gorgeous, what a dilemma!! I'll go for #THAT as I love a classic stripe, and the red colour block is fab <U+2764><U+FE0F> #WINIT"
"5790","I definitely prefer THAT essential striped knit! It would really suit me and I need a couple new knits for this new season xxx"
"5791","Oh I love both but it has to be THIS embroidered floral knit. Would keep me warm all year round, and the pattern means I could wear it all year too!"
"5792","Definitely this. Loving the floral fabrics in oasis this season!"
"5793","I love them both but I would have to go for the Florel  top."
"5794","THIS embroidered floral knit is my favourite! Thanks for the chance to WIN IT <U+2764><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BD><U+0080>"
"5795","This is better than that lol..  Think this would suit me better"
"5796","THIS I love an embroidered knit so easy to wear and looks super comfy"
"5797","THIS embroidered jumper looks gorgeous <3 #WINIT"
"5798","I prefer that Essential striped knit <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"5799","#This so on trend it's beautiful for spring/summer <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"5800","That lovely giveaway, thanks for the chance of winning <U+2764><U+2764><U+2764><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BC><ed><U+00BC><U+00B9><ed><U+00A0><U+00BC><ed><U+00BC><U+00B9><ed><U+00A0><U+00BC><ed><U+00BC><U+00B9>"
"5801","Def THAT eseential stripe knit love love it #WINIT"
"5802","THAT please! Smart and sophisticated, I'll consider it an early wedding present ;)"
"5803","The floral knit because it makes me feel like Spring is on the way <U+263A>"
"5804","THAT! 
its stylish and would go with a lot in wardrobe <ed><U+00A0><U+00BD><ed><U+00B2><U+0096>
#WinIt"
"5805","THIS is absolutely gorgeous and would look lovely with my Cherry jeans x"
"5806","I love stripes, so it is definitely THAT for me please."
"5807","that striped knit please.  it will go with my wardrobe perfectly. #winit"
"5808","I really like both!  But if I had to choose, THIS embroidered floral knit :)"
"5809","THIS, love anything embroidered <ed><U+00A0><U+00BD><ed><U+00B8><U+0084> #winit"
"5810","I absolutely love them both! Its got to be my turn to win this time. THIS please #winit #oasis xx"
"5811","THIS please it's so lovely, love the way you've teamed it with the denim skirt too, very nice"
"5812","This <ed><U+00A0><U+00BD><ed><U+00B2><U+0096><ed><U+00A0><U+00BD><ed><U+00B2><U+0096><ed><U+00A0><U+00BD><ed><U+00B2><U+0096>I love the floral design can be dressed up or down x <ed><U+00A0><U+00BD><ed><U+00B2><U+0097><ed><U+00A0><U+00BD><ed><U+00B2><U+0097>"
"5813","THAT! Got to love a classic strip. wow yes please! Thanks so much for the chance fantastic giveaway <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+2764><ed><U+00A0><U+00BD><ed><U+00B8><U+0080><ed><U+00A0><U+00BC><ed><U+00BE><U+0081><ed><U+00A0><U+00BD><ed><U+00B1><U+00AA><ed><U+00A0><U+00BC><ed><U+00BD><U+0080>"
"5814","Im going to go for this!! I always go stripey so its about time i changed a bit"
"5815","#WINIT WIN IT - loving 'That' .....love strips - love this jumper....so amazingly fab xxx Happy Friday Everyone xxx"
"5816","THIS embroidered floral knit so pretty and perfect for the transition into spring!"
"5817","THAT striped knit please. 
Amazing giveaway! Liked and shared. Good luck everyone <ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BD><ed><U+00B2><U+0096><U+263A><U+FE0F>"
"5818","Loce THAT essential striped knit - stripes are one of the hottest trends this season #WINIT xx"
"5819","Would have to be THIS because I have a thing for Oasis florals. Love them <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BC><ed><U+00BC><U+00B9><ed><U+00A0><U+00BC><ed><U+00BC><U+00BA><ed><U+00A0><U+00BC><ed><U+00BC><U+00BB><ed><U+00A0><U+00BC><ed><U+00BC><U+00BC><ed><U+00A0><U+00BC><ed><U+00BC><U+00B7><U+2698>"
"5820","THIS embroidered floral knit please.....#WINIT 
PRETTY PLEASE"
"5821","Oooog definitely THAT striped jumper - I practically live in my oasis striped jumpers! My fave! <U+2764>"
"5822","Oh wow love the floral #THIS I love so pretty and beautiful coming into spring"
"5823","This embroidered floral knit, perfect spring piece!! <ed><U+00A0><U+00BD><ed><U+00B2><U+009B><ed><U+00A0><U+00BD><ed><U+00B2><U+0090> #WINIT"
"5824","THIS floral Knit <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> would love to #WINIT  please <U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+009A><ed><U+00A0><U+00BD><ed><U+00B2><U+009B> x"
"5825","This jumper is adorable! Florals are always a win for me. #WINIT"
"5826","THIS item is the I choose as slightly unusual but not over the top."
"5827","Both, both, both! So gorgeous! But if I had to choose would be THAT! Xx"
"5828","THIS the floral is so cute and pretty, could wear with lots of different s items in my wardrobe <ed><U+00A0><U+00BD><ed><U+00B2><U+0096><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BD><ed><U+00B2><U+0090> #winit"
"5829","THIS floral knit - love the navy colour and it looks great with denim thanks"
"5830","That striped knit - can never have enough stripes! #WINIT"
"5831","That striped knit as it's a classic and will go with everything <ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5832","That! Anything slightly nautical is always on trend and suitable for any season <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"5833","""This"" I've always been a massive stripe fan, but would love to try the new embroidery trend <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+0080>"
"5834","Definitely the essential stripe knit!  I would love to see it hanging in my wardrobe <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5835","The floral knit for sure! I would wear it with my oasis floral skirt or blue jeans and boots x"
"5836","I am a big fan of stripes, so my choice will be ""that""! Thank you for the opportunity."
"5837","That definitely more me, I love a stripe!  <ed><U+00A0><U+00BE><ed><U+00B4><U+0097>"
"5838","Jessica the floral jumper would be gorgeous on you!!!"
"5839","THIS love the embroidery <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> so pretty!!! Perfect for spring!"
"5840","THIS #WINIT <U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F> Oasis Fashion! Embroidery on trend girlie florals<ed><U+00A0><U+00BC><ed><U+00BC><U+00B7><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+00B9>"
"5841","THIS embroidered floral knit <ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+00BC><ed><U+00A0><U+00BC><ed><U+00BC><U+00BA><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> The perfect remedy to brighten up such a cold winters day!"
"5842","THIS embroidered floral knit <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5843","THAT essential stripe knit! Can't get enough stripes in my wardrobe!"
"5844","THIS floral knit is very pretty. It is quite versatile too. winwin"
"5845","Def THAT essential stripe knit, it would look perfect teamed with dark skinnies and tan boots xxx"
"5846","So many giveaways this week!!! I love both but THAT just edged it <U+2764><U+2764> #winit"
"5847","Both lovely, but it would have to be ""THAT""! :)"
"5848","THIS #WINIT its beautiful I enter all your competition  hope I m lucky this time <ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"5849","THAT essential striped knit - I love the sleeve detail #WINIT"
"5850","THIS embroidered floral jumper - gorgeous! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #WINIT"
"5851","Love This floral print. So different and versatile! Would love to win #WINIT <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><U+2764>"
"5852","THAT. Absolutely love that jumper and coat outfit combo! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5853","I would love #THIS please-gorgeous floral jumper for Spring"
"5854","Definitely embroidered jumper... Would love to win this lovely piece... Please let it be me!! <ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+00BC><ed><U+00A0><U+00BC><ed><U+00BC><U+00B7><ed><U+00A0><U+00BC><ed><U+00BC><U+00B9> <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> x"
"5855","THAT because it is so modern and clean and Mondrian inspired. Would be like where a piece of art"
"5856","THAT Striped so gorgeous and timeless <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>"
"5857","I absolutely love both of them so it's a tough decision but I'd choose THAT, I love a stripe! Fingers crossed! #WINIT <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5858","Oooh I love both! But think THIS embroidered floral is my favourite! #WINIT"
"5859","THIS floral knit love the colour and not too much pattern, dress up or down"
"5860","THIS floral knit I love it , always wear something floral wanted to treat my self to this just haven't had a chance to <ed><U+00A0><U+00BD><ed><U+00B2><U+0096>"
"5861","Love THIS pretty jumper, gorgeous with a skirt or jeans <ed><U+00A0><U+00BD><ed><U+00B2><U+0096>"
"5862","I absolutely love the floral k it! Perfect to start thinking about spring!!!"
"5863","THIS embroidered floral knit. Perfect not only for now but to wear in the spring with your favourite flats<ed><U+00A0><U+00BD><ed><U+00B8><U+008D> love it! <ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+00BA><ed><U+00A0><U+00BC><ed><U+00BC><U+00B7><ed><U+00A0><U+00BC><ed><U+00BC><U+00B9>"
"5864","This floral embroidered knit!  Love all the ditsy florals in Oasis at the moment."
"5865","THAT. Love the stripes and it can be casual or dressed up with a jacket."
"5866","THIS would definitely boost my 'look' as I endeavour to lose the many pounds that have crept on, since I retired!"
"5867","Loving the floral knit - would definitely get me in the mood for spring! :)"
"5868","Love THIS embroidered floral knit <U+2764><U+FE0F>. Adds a bit of colour to brighten up an otherwise boring outfit."
"5869","This love the embroidered shoulders, such a love way to add detail. Love to wear this. <ed><U+00A0><U+00BD><ed><U+00B2><U+0096>"
"5870","THIS Love it would love to #WIN thanks Oasis Fashion lovely top :)"
"5871","THIS embroidered floral knit is so pretty. Would love to #WINIT please! :)"
"5872","THIS please. I almost always go for stripes so the flowers would be a nice change <U+263A><U+FE0F> x"
"5873","#WINIT #THIS #FloralEmbroideryTop deffo the embroidery top would love it ;)"
"5874","THIS for me. Would love to WINIT. Love the embroidery on the shoulders."
"5875","Love THAT essential striped knit. Would easily go with a lot of my wardrobe. Love it. <ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"5876","Love this floral knit! I'm obsessed with flowers! <ed><U+00A0><U+00BC><ed><U+00BC><U+00BA> <U+2764><U+FE0F> #WINIT xxx"
"5877","Definitely the floral jumper, have plenty of stripes in wardrobe but not any pretty florals knits!  Just would <U+2764> to #WINIT"
"5878","I like both but I'd love to win THAT essential striped knit #WINIT :)"
"5879","Oooooh floral knit! Makes me feel like spring is around the corner!!!"
"5880","Got to be the striped one with the colour blocking so classy."
"5881","THIS! I had seen this on the next season preview. I LOVE it!"
"5882","This #winit what a lovely sweater. Brilliant spring piece!"
"5883","THIS floral top would be my pick - love everything embroidered! X"
"5884","<ed><U+00A0><U+00BC><ed><U+00BC><U+00BC>Definitely 'THIS' <ed><U+00A0><U+00BC><ed><U+00BC><U+00B8> looks amazing. Would love to win xx"
"5885","This embroidered floral knit is gorgeous and perfect for spring <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #winit"
"5886","Impossible choice...I love them both! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> If I'm lucky you can surprise me!<ed><U+00A0><U+00BD><ed><U+00B8><U+0098>"
"5887","Both fab but I love the floral jumper. Brill for spring THIS floral jumper"
"5888","Embroidered knit easily - will cheer me up  with all this miserable weather xx"
"5889","Definitely this! Lovely and floral with spring on the way!"
"5890","THIS is my choice.... unique and very pretty. Love it. Xxx"
"5891","Love the embroidered floral! Love anything floral, very pretty <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #WINIT"
"5892","THAT striped knit; you can never have too many stripes! #WINIT"
"5893","Definitely THAT- you can never have to many striped tops <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><U+2764><ed><U+00A0><U+00BD><ed><U+00B2><U+0099>"
"5894","I love stripes but am loving the new season pretty embroidered florals so will go floral today!"
"5895","Yes please. Oh YOU beauty.

Check this out Margaret Gallagher. I'd choose that"
"5896","THAT, I like stripes.
Which is your favourite Linda Jefferson?"
"5897","THAT stripes all the way and love the pinky peach colour xx"
"5898","THAT essential stripped knit is great to dress up or down #WINIT"
"5899","This! But only because I have promised not to buy any more stripes..."
"5900","Love them both but if I have to choose, the blue one with the embroided flowers on!"
"5901","I <U+2764>the embroidered one - looks lovely and very wearable x"
"5902","THAT essential striped knit. I absolutely love it and it's so me. #WINIT"
"5903","Definitely this! Can't beat florals to encourage spring to come early <U+263A>"
"5904","THIS. Love it and the flowery shoulders might take the attention away from my baby belly :)"
"5905","I love the pretty embroidered knit jumper WINIT <ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B8><U+0098>"
"5906","This. Just beautiful and could be dressed up
Or down! Please let me #WINIT <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>"
"5907","I love #that striped knit #winit. Nearly bought it last weekend but I resisted. Please let me #winit!"
"5908","THAT is Awesome!...
<ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> very nice & comfy... totally great outfit this season!...
#WINIT Oasis Fashion"
"5909","I love this the embroidered floral knit, its gorgeous x"
"5910","I love THAT - looks fabulous! Liked & shared! Fingers crossed! xxxxx"
"5911","THAT! I love the stripe knit - super chic and super classic! #WINIT xx"
"5912","THIS. The floral jumper is lovely, right up my street :) #WINIT"
"5913","What? I really have to choose?! Difficult one but I would say THIS floral jumper. I'm a sucker for embroidered detail!"
"5914","The floral embroidered jumper is my favourite. Here comes Spring- we hope!"
"5915","#THIS Perfect for heading in to Spring,..gorgeous! #WINIT x"
"5916","this would look fine on my wife Liked and shared thanks for chance I would love to #win this amazing prize"
"5917","Both are totally gorgeous but I'd say THIS embroidered jumper as it's great for Spring <U+2764>"
"5918","Ohhhh THIS please 
Would go down a treat 
Not to mention it's absolutely freezing xxx #WINIT xx<U+2744><U+FE0F><U+2744><U+FE0F><U+2744><U+FE0F><U+2744><U+FE0F><U+2744><U+FE0F><U+2744><U+FE0F>"
"5919","The embroidered Floral jumper is so sweet! Love it <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
#WINIT"
"5920","THAT essential striped knit is what I would choose please."
"5921","That love stripes the colour is fab liked shared thanks for the chance xx"
"5922","Embroiled floral knit is gorgeous! Would so suit it! Loved and shared #oasisfashion #gorgeous #win"
"5923","""#THIS"" ... the floral embroidered  looks good  like  It's pretty n beautiful as are somanyof ..   #OasisFashion .#WINIT"
"5924","THAT essential stripe is just that- essential for my wardrobe! Perfect with jeans or I would wear it with a bright red pleated skirt. #WINIT"
"5925","Oh This is so pretty. The floral emboidered flowers are so lovely x"
"5926","This. Yes please I would love to win this wonderful giveaway. Fingers tightly crossed. Liked and shared. X"
"5927","THAT striped knit, I love the colours, very vibrant and chic"
"5928","That striped knit - I'm addicted to Breton style tops! A timeless classic that can be dressed up or down #WINIT"
"5929","That - They are both lovely but I would choose the stripy jumper perfect for spring :)"
"5930","That striped jumper please, would fit in well with my wardrobe."
"5931","Wow! What a FANTASTIC prize!! <U+2764><U+2764><U+2764> I'd choose the embroidered floral knit, it's gorgeous!! 
Amazing giveaway <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><U+2764><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> would love to be your lucky winner <U+2764> a huge like and shared the post too. <ed><U+00A0><U+00BD><ed><U+00B9><U+008B><ed><U+00A0><U+00BD><ed><U+00B9><U+008B> Fingers and toes crossed x"
"5932","THIS  I like the small embroidered flowers on the shoulder area"
"5933","That please what a lovely classic jumper that would look great anytime"
"5934","THAT essential striped knit is my choice #WINIT"
"5935","THIS please- love the embroidery"
"5936","This springs to mind <ed><U+00A0><U+00BD><ed><U+00B8><U+0098>"
"5937","That striped knit. It's such a classic style updated."
"5938","THAT essential striped knit looks rather fetching xxx"
"5939","THAT PLEASE"
"5940","This!  Horizontal stripes and I are not a good fit - lol"
"5941","<3 THAT <3 sooooo amazing !!!! :)"
"5942","Floral knit! I love your jumpers! Xx"
"5943","#this
#WINIT
Love the floral one"
"5944","That striped is lovely x #WINIT"
"5945","THIS embroidered floral knit pretty please! :-)"
"5946","This! Love those flowers <ed><U+00A0><U+00BC><ed><U+00BC><U+00B9><U+2764><U+FE0F>"
"5947","THIS embroidered floral knit <ed><U+00A0><U+00BC><ed><U+00BC><U+00BA>"
"5948","THIS is lovveeelllyy #WINIT love #oasisfashion <U+2764><U+2764><U+2764>"
"5949","This!! Love it with a white shirt under  <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5950","Love THAT"
"5951","THAT essential striped knit for me x"
"5952","Definitely this jumper fab"
"5953","THAT <ed><U+00A0><U+00BD><ed><U+00B8><U+0080>"
"5954","THIS I adore it!"
"5955","I love THIS embroidered floral! Gorgeous!"
"5956","I love THIS floral knit!! Gorgeous!! #WINIT xxx"
"5957","This floral #winit"
"5958","THIS embroidered floral knit please!!! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #WINIT"
"5959","THIS floral knit is my preferred knit.  Great for spring time  <U+2764>"
"5960","THIS please :D I adore the current embroidery trend <3"
"5961","THIS would be my choice x"
"5962","This embroidered knit! Bang on trend! #WINIT x"
"5963","THIS :D :D"
"5964","This is gorgeous a lovely reminder of Spring <ed><U+00A0><U+00BC><ed><U+00BC><U+00BA><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BD><ed><U+00B0><U+009D>"
"5965","THIS.. Lovely for a change,  very Spring like #WINIT"
"5966","Navy and floral <ed><U+00A0><U+00BD><ed><U+00B2><U+009B><ed><U+00A0><U+00BD><ed><U+00B2><U+009B><ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+009B>"
"5967","THAT, love the stripes #Winit"
"5968","THIS would look lovely in my wardrobe. X"
"5969","That stripe"
"5970","This , the embroidered floral knit just fab <U+2B50>"
"5971","Definitely THIS,it's different x"
"5972","Love THIS"
"5973","That striped knit pretty please xxx"
"5974","THIS is beautiful x"
"5975","This, liked and shared"
"5976","THIS <3 #WINIT"
"5977","THIS embroidered floral knit is beaut <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> <ed><U+00A0><U+00BC><ed><U+00BC><U+00B9><ed><U+00A0><U+00BC><ed><U+00BC><U+00BC><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+00BB><ed><U+00A0><U+00BC><ed><U+00BC><U+00B7><ed><U+00A0><U+00BC><ed><U+00BC><U+00BA>"
"5978","That is fab love the stripes liked and shared"
"5979","THAT is lush <U+2764><U+FE0F>"
"5980","I love THAT striped knit sweater!"
"5981","THAT stripy knit is my favourite! #WINIT"
"5982","This embroidered floral Knit x"
"5983","Def THIS floral jumper bring on spring!"
"5984","The floral knit! I love it! It's on my wish list x"
"5985","#That stripes"
"5986","This floral print <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5987","THIS love the delicate pattern #winit"
"5988","THAT striped knit. Stripes r timeless and classy. #WINIT"
"5989","I prefer THAT lovely striped knit"
"5990","I love THAT it reminds me of spring"
"5991","I love #THIS pretty floral knit, fingers crossed."
"5992","This x"
"5993","#THIS Perfect spring floral piece! #WINIT"
"5994","They're both fab, I'm not fussy!!!"
"5995","THIS embroidered floral knit - so pretty! <ed><U+00A0><U+00BC><ed><U+00BC><U+00BC><ed><U+00A0><U+00BC><ed><U+00BC><U+00BA><ed><U+00A0><U+00BC><ed><U+00BC><U+00BB><ed><U+00A0><U+00BC><ed><U+00BC><U+00BC><ed><U+00A0><U+00BC><ed><U+00BC><U+00BA><ed><U+00A0><U+00BC><ed><U+00BC><U+00BB><ed><U+00A0><U+00BC><ed><U+00BC><U+00BC><ed><U+00A0><U+00BC><ed><U+00BC><U+00BA><ed><U+00A0><U+00BC><ed><U+00BC><U+00BB>"
"5996","this  jumper if I am the lucky one thanks"
"5997","THAT essential striped knit so gorgeous"
"5998","Love the Embroidered floral knit,fab"
"5999","This! <3 #winit"
"6000","THAT essential striped knit <3"
"6001","THIS embroidered floral knit is lush"
"6002","This embroidered jumper is my favourite <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"6003","This <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> absolutely love it xx"
"6004","THIS Embroidered floral knit <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"6005","THAT. Cant go wrong with a good stripe."
"6006","THAT essential striped knit <3"
"6007","this, very cute x"
"6008","This<ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"6009","THIS embroidered flower knit is lovely #WINIT x"
"6010","I'll love to win the jumper 
Liked & shared 
<ed><U+00A0><U+00BD><ed><U+00B8><U+0083><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>"
"6011","THIS  - love it! :) x"
"6012","Fabulous Prize
Love the Red Black and white top 
Liked and Shared"
"6013","The striped knit for me"
"6014","The floral knit is my favourite 
Liked your page and this post"
"6015","This <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"6016","That love stripes."
"6017","Ohhhhh THAT is gorgeous! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"6018","Would love the essential striped knit. Love it <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"6019","THAT striped knit is my favourite X"
"6020","I definitely love THIS! <ed><U+00A0><U+00BC><ed><U+00BC><U+00BC><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+00BA><ed><U+00A0><U+00BC><ed><U+00BC><U+00B9>"
"6021","THIS embroidered floral knit"
"6022","THIS embroidered floral knit <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> #WINIT"
"6023","THIS embroidered floral top is my favourite"
"6024","THIS floral knit! It's sooo me it's ridiculous! X"
"6025","This. Love the jumper and skirt. <ed><U+00A0><U+00BD><ed><U+00B8><U+0083>"
"6026","THIS embroidered knit is beyond gorgeous!!"
"6027","THAT please for me.  Love my stripes. X"
"6028","#winit #oasis #flowers #stripes #both #loveoasis <ed><U+00A0><U+00BD><ed><U+00B8><U+0099><ed><U+00A0><U+00BD><ed><U+00B8><U+0099><ed><U+00A0><U+00BD><ed><U+00B8><U+0099>"
"6029","That #winit"
"6030","That :)"
"6031","THAT #WINIT"
"6032","This xx"
"6033","THIS embroidered floral knit"
"6034","I love THIS embroidered floral knit"
"6035","This - embroidered floral knit <ed><U+00A0><U+00BC><ed><U+00BC><U+00B9>"
